npm verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
npm info using npm@10.9.2
npm info using node@v22.15.0
npm verbose title npm install d:\project\vkedit\vkedit-1.0.3.tgz
npm verbose argv "install" "d:\\project\\vkedit\\vkedit-1.0.3.tgz" "--legacy-peer-deps" "--loglevel" "verbose"
npm verbose logfile logs-max:10 dir:C:\Users\wanguo.pang\AppData\Local\npm-cache\_logs\2025-10-13T09_28_21_742Z-
npm verbose logfile C:\Users\wanguo.pang\AppData\Local\npm-cache\_logs\2025-10-13T09_28_21_742Z-debug-0.log
npm http cache https://registry.npmmirror.com/pinia 23ms (cache hit)
npm http cache https://registry.npmmirror.com/vue 17ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2fnode 28ms (cache hit)
npm http cache https://registry.npmmirror.com/@vitejs%2fplugin-vue 18ms (cache hit)
npm http cache https://registry.npmmirror.com/@vue%2feslint-config-typescript 14ms (cache hit)
npm http cache https://registry.npmmirror.com/autoprefixer 15ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint 15ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-plugin-vue 14ms (cache hit)
npm http cache https://registry.npmmirror.com/jiti 15ms (cache hit)
npm http cache https://registry.npmmirror.com/npm-run-all2 13ms (cache hit)
npm http cache https://registry.npmmirror.com/postcss 14ms (cache hit)
npm http cache https://registry.npmmirror.com/prettier 19ms (cache hit)
npm http cache https://registry.npmmirror.com/typescript 41ms (cache hit)
npm http cache https://registry.npmmirror.com/vite 121ms (cache hit)
npm http cache https://registry.npmmirror.com/vue-tsc 38ms (cache hit)
npm http cache https://registry.npmmirror.com/@rolldown%2fpluginutils 46ms (cache hit)
npm http cache https://registry.npmmirror.com/browserslist 49ms (cache hit)
npm http cache https://registry.npmmirror.com/normalize-range 53ms (cache hit)
npm http cache https://registry.npmmirror.com/vue-eslint-parser 56ms (cache hit)
npm http cache https://registry.npmmirror.com/@typescript-eslint%2futils 78ms (cache hit)
npm http cache https://registry.npmmirror.com/undici-types 135ms (cache hit)
npm http cache https://registry.npmmirror.com/fast-glob 138ms (cache hit)
npm http cache https://registry.npmmirror.com/fraction.js 146ms (cache hit)
npm http cache https://registry.npmmirror.com/caniuse-lite 153ms (cache hit)
npm http cache https://registry.npmmirror.com/typescript-eslint 170ms (cache hit)
npm http cache https://registry.npmmirror.com/picocolors 194ms (cache hit)
npm http cache https://registry.npmmirror.com/postcss-value-parser 195ms (cache hit)
npm http cache https://registry.npmmirror.com/@eslint-community%2feslint-utils 197ms (cache hit)
npm http cache https://registry.npmmirror.com/@eslint%2fconfig-array 179ms (cache hit)
npm http cache https://registry.npmmirror.com/@eslint-community%2fregexpp 187ms (cache hit)
npm http cache https://registry.npmmirror.com/@eslint%2fjs 102ms (cache hit)
npm http cache https://registry.npmmirror.com/@eslint%2fconfig-helpers 185ms (cache hit)
npm http cache https://registry.npmmirror.com/@eslint%2fcore 181ms (cache hit)
npm http cache https://registry.npmmirror.com/@humanfs%2fnode 96ms (cache hit)
npm http cache https://registry.npmmirror.com/@eslint%2feslintrc 115ms (cache hit)
npm http cache https://registry.npmmirror.com/@humanwhocodes%2fmodule-importer 86ms (cache hit)
npm http cache https://registry.npmmirror.com/@eslint%2fplugin-kit 104ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2festree 58ms (cache hit)
npm http cache https://registry.npmmirror.com/@humanwhocodes%2fretry 62ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2fjson-schema 62ms (cache hit)
npm http cache https://registry.npmmirror.com/ajv 63ms (cache hit)
npm http cache https://registry.npmmirror.com/chalk 64ms (cache hit)
npm http cache https://registry.npmmirror.com/cross-spawn 64ms (cache hit)
